"subj_idx","sex","age","edu","block_id","block_type","trial_id","trial_type_num","label_en","shape_en","valence","match","correctRp","response","rt","acc"
"v010001","male",27,"硕士",3,"test",4,17,"bad","circular","bad","match","n","n","1045.6999999986729","1"
"v010001","male",27,"硕士",3,"test",5,17,"ordinary","square","good","mismatch","m","m","762.8000000005122","1"
"v010001","male",27,"硕士",3,"test",6,17,"bad","triangle","ordinary","mismatch","m","m","1075.1000000000931","1"
"v010001","male",27,"硕士",3,"test",7,17,"good","triangle","ordinary","mismatch","m","m","927.4999999997672","1"
"v010001","male",27,"硕士",3,"test",8,17,"good","square","good","match","n","n","560.2999999992317","1"
"v010001","male",27,"硕士",3,"test",9,17,"ordinary","triangle","ordinary","match","n","n","789.0000000006985","1"
"v010001","male",27,"硕士",3,"test",10,17,"ordinary","triangle","ordinary","match","n","n","503.49999999895226","1"
"v010001","male",27,"硕士",3,"test",11,17,"bad","circular","bad","match","n","m","877.5000000004657","0"
"v010001","male",27,"硕士",3,"test",12,17,"bad","square","good","mismatch","m","n","634.0999999992782","0"
"v010001","male",27,"硕士",3,"test",1,18,"ordinary","triangle","ordinary","match","n","n","736.9000000017695","1"
"v010001","male",27,"硕士",3,"test",2,18,"bad","square","good","mismatch","m","m","1155.9999999990687","1"
"v010001","male",27,"硕士",3,"test",3,18,"bad","circular","bad","match","n","m","743.9000000013039","0"
"v010001","male",27,"硕士",3,"test",4,18,"good","square","good","match","n","n","796.8999999993248","1"
"v010001","male",27,"硕士",3,"test",5,18,"good","triangle","ordinary","mismatch","m","m","642.100000000908","1"
"v010001","male",27,"硕士",3,"test",6,18,"bad","circular","bad","match","n","n","596.9999999996508","1"
"v010001","male",27,"硕士",3,"test",7,18,"ordinary","triangle","ordinary","match","n","n","1038.500000000582","1"
"v010001","male",27,"硕士",3,"test",8,18,"ordinary","circular","bad","mismatch","m","m","777.30000000156","1"
"v010001","male",27,"硕士",3,"test",9,18,"good","square","good","match","n","n","947.2000000005355","1"
"v010001","male",27,"硕士",3,"test",10,18,"good","circular","bad","mismatch","m","m","969.1999999994878","1"
"v010001","male",27,"硕士",3,"test",11,18,"ordinary","square","good","mismatch","m","m","864.4999999996508","1"
"v010001","male",27,"硕士",3,"test",12,18,"bad","triangle","ordinary","mismatch","m","n","924.7999999988824","0"
"v010001","male",27,"硕士",4,"test",1,19,"good","square","good","match","n","NA","null","0"
"v010001","male",27,"硕士",4,"test",2,19,"bad","square","good","mismatch","m","m","721.000000001397","1"
"v010001","male",27,"硕士",4,"test",3,19,"bad","circular","bad","match","n","m","887.0000000005821","0"
"v010001","male",27,"硕士",4,"test",4,19,"bad","triangle","ordinary","mismatch","m","m","1085.800000000745","1"
"v010001","male",27,"硕士",4,"test",5,19,"ordinary","square","good","mismatch","m","m","1020.4000000013039","1"
"v010001","male",27,"硕士",4,"test",6,19,"ordinary","triangle","ordinary","match","n","n","676.6000000006752","1"
"v010001","male",27,"硕士",4,"test",7,19,"good","square","good","match","n","n","791.8000000008615","1"
"v010001","male",27,"硕士",4,"test",8,19,"good","circular","bad","mismatch","m","m","823.6999999989057","1"
"v010001","male",27,"硕士",4,"test",9,19,"bad","circular","bad","match","n","n","680.1999999987893","1"
"v010001","male",27,"硕士",4,"test",10,19,"ordinary","triangle","ordinary","match","n","n","693.2999999989988","1"
"v010001","male",27,"硕士",4,"test",11,19,"good","triangle","ordinary","mismatch","m","m","788.5000000005821","1"
"v010001","male",27,"硕士",4,"test",12,19,"ordinary","circular","bad","mismatch","m","m","1133.7000000003027","1"
"v010001","male",27,"硕士",4,"test",1,20,"ordinary","triangle","ordinary","match","n","n","638.8999999999069","1"
"v010001","male",27,"硕士",4,"test",2,20,"good","square","good","match","n","n","605.900000000489","1"
"v010001","male",27,"硕士",4,"test",3,20,"bad","circular","bad","match","n","n","847.2000000001863","1"
"v010001","male",27,"硕士",4,"test",4,20,"bad","triangle","ordinary","mismatch","m","m","774.5000000012806","1"
"v010001","male",27,"硕士",4,"test",5,20,"bad","circular","bad","match","n","n","803.5","1"
